Age,Edu,JobExp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,QW1,QW2,QW3,QW4,QW5
40 – 44,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),Some of the time,All of the time,Often,Often,None of the time,All of the time,None of the time,All of the time,Rarely,Rarely,Often,Often,All of the time,None of the time,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
30 – 34,Diploma/Technical,1 – 2 years (Early career),Often,All of the time,All of the time,All of the time,Often,None of the time,Rarely,Some of the time,All of the time,Often,All of the time,Rarely,Often,Often,Less than half of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),Some of the time,Often,None of the time,Rarely,None of the time,Often,All of the time,Some of the time,Some of the time,None of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,Less than half of the time,At no time
35 – 39,Postgraduate Degree,16 – 20 years (Senior managers/leaders),Often,Some of the time,All of the time,None of the time,All of the time,None of the time,Some of the time,Rarely,All of the time,None of the time,All of the time,Often,Some of the time,Some of the time,Some of the time,All of the time,Less than half of the time,At no time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,Rarely,Rarely,None of the time,All of the time,All of the time,Often,All of the time,All of the time,Some of the time,Some of the time,All of the time,Often,Most of the time,More than half of the time,Less than half of the time,Some of the time,All of the time
40 – 44,Bachelor’s Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,All of the time,More than half of the time,Some of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,Often,Often,Some of the time,Some of the time,More than half of the time,Less than half of the time,Some of the time
30 – 34,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),All of the time,All of the time,All of the time,Often,None of the time,Often,Some of the time,Often,All of the time,All of the time,Often,Often,All of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Rarely,Often,More than half of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
50 – 54,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Often,Some of the time,Often,Often,None of the time,None of the time,All of the time,None of the time,All of the time,Often,None of the time,Often,All of the time,Some of the time,More than half of the time,Less than half of the time,Less than half of the time,Most of the time
35 – 39,Diploma/Technical,1 – 2 years (Early career),All of the time,Some of the time,Some of the time,Rarely,All of the time,All of the time,All of the time,Often,Often,All of the time,All of the time,All of the time,Rarely,All of the time,Some of the time,Some of the time,More than half of the time,Some of the time,Less than half of the time
55 – 59,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),Often,All of the time,Often,All of the time,Some of the time,All of the time,Some of the time,Some of the time,All of the time,Often,Rarely,Often,Often,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
25 – 29,Professional Degrees,Less than 1 year (Entry-level/freshers),Often,Some of the time,Often,All of the time,All of the time,Rarely,Rarely,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),Some of the time,All of the time,Often,All of the time,All of the time,Rarely,Some of the time,Often,All of the time,Often,Rarely,All of the time,All of the time,All of the time,Less than half of the time,Less than half of the time,Less than half of the time,Some of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,All of the time,None of the time,All of the time,None of the time,All of the time,Often,Most of the time,Some of the time,All of the time,Some of the time,At no time
40 – 44,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,Rarely,Some of the time,All of the time,All of the time,All of the time,None of the time,All of the time,All of the time,Some of the time,All of the time,Rarely,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
20 – 24,Bachelor’s Degree,1 – 2 years (Early career),All of the time,Rarely,Some of the time,All of the time,Some of the time,Some of the time,Often,Often,Some of the time,All of the time,All of the time,Often,Some of the time,Often,Some of the time,Most of the time,More than half of the time,More than half of the time,Some of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,Rarely,Rarely,Often,None of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,Often,Most of the time,Most of the time,More than half of the time,Most of the time,At no time
25 – 29,Professional Degrees,16 – 20 years (Senior managers/leaders),Often,All of the time,All of the time,None of the time,All of the time,Rarely,Often,Often,Often,All of the time,All of the time,All of the time,All of the time,All of the time,More than half of the time,All of the time,Less than half of the time,Most of the time,Less than half of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,All of the time,Often,Some of the time,Rarely,All of the time,Often,All of the time,Often,Often,All of the time,Often,Some of the time,Some of the time,Some of the time,Less than half of the time,Some of the time,Some of the time
30 – 34,Other,3 – 5 years (Junior professional stage),Rarely,Some of the time,None of the time,All of the time,All of the time,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,Often,All of the time,Often,Most of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time
30 – 34,Professional Degrees,1 – 2 years (Early career),Rarely,Often,All of the time,Some of the time,Some of the time,None of the time,All of the time,Some of the time,All of the time,Often,Often,Some of the time,All of the time,Often,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),All of the time,Rarely,None of the time,Rarely,All of the time,All of the time,Often,All of the time,All of the time,Often,Often,Often,All of the time,All of the time,More than half of the time,Most of the time,Most of the time,More than half of the time,Most of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),All of the time,Often,All of the time,None of the time,Rarely,Often,None of the time,All of the time,All of the time,Often,All of the time,All of the time,Some of the time,Often,Some of the time,Most of the time,All of the time,At no time,More than half of the time
25 – 29,Postgraduate Degree,3 – 5 years (Junior professional stage),Some of the time,Rarely,Often,Often,Some of the time,All of the time,All of the time,All of the time,Often,Some of the time,All of the time,Some of the time,Some of the time,Often,Less than half of the time,Some of the time,Less than half of the time,Less than half of the time,More than half of the time
30 – 34,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Some of the time,All of the time,Rarely,None of the time,All of the time,Often,Rarely,All of the time,All of the time,All of the time,All of the time,All of the time,Often,Less than half of the time,All of the time,Less than half of the time,Most of the time,Most of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),All of the time,Some of the time,All of the time,All of the time,Rarely,Often,All of the time,Often,All of the time,Rarely,All of the time,Rarely,Rarely,Often,All of the time,More than half of the time,Some of the time,More than half of the time,All of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),Often,Often,All of the time,Often,Some of the time,Rarely,All of the time,Rarely,None of the time,All of the time,All of the time,All of the time,All of the time,None of the time,Some of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time
25 – 29,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,None of the time,Some of the time,All of the time,Often,Some of the time,Some of the time,Often,All of the time,All of the time,All of the time,All of the time,None of the time,All of the time,All of the time,Some of the time,Some of the time,More than half of the time,Most of the time
25 – 29,Bachelor’s Degree,1 – 2 years (Early career),Often,Often,None of the time,Rarely,All of the time,All of the time,Some of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,Some of the time,All of the time,Most of the time
25 – 29,Professional Degrees,16 – 20 years (Senior managers/leaders),All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,None of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time,Most of the time
30 – 34,Higher Secondary,21 – 25 years (Top management/executives),All of the time,Some of the time,Often,All of the time,Often,None of the time,All of the time,Some of the time,None of the time,All of the time,All of the time,Often,None of the time,Some of the time,More than half of the time,All of the time,Some of the time,Some of the time,Most of the time
25 – 29,Professional Degrees,3 – 5 years (Junior professional stage),Rarely,Often,All of the time,All of the time,Rarely,All of the time,All of the time,Some of the time,All of the time,Often,Some of the time,Rarely,All of the time,All of the time,More than half of the time,At no time,Less than half of the time,Most of the time,All of the time
35 – 39,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),Some of the time,Some of the time,Some of the time,Often,None of the time,All of the time,All of the time,Some of the time,Often,Often,All of the time,Often,All of the time,All of the time,Some of the time,More than half of the time,Some of the time,Some of the time,Less than half of the time
25 – 29,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),Often,All of the time,Often,Rarely,All of the time,All of the time,Rarely,All of the time,Often,All of the time,All of the time,Often,Often,Often,Less than half of the time,All of the time,More than half of the time,Some of the time,At no time
30 – 34,Bachelor’s Degree,1 – 2 years (Early career),All of the time,All of the time,Often,Some of the time,None of the time,All of the time,Often,All of the time,All of the time,Often,Often,All of the time,Some of the time,Often,Some of the time,Most of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Often,All of the time,Rarely,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,More than half of the time,More than half of the time,Most of the time,Most of the time,Some of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),All of the time,Rarely,Some of the time,Often,All of the time,None of the time,All of the time,Often,Often,Some of the time,All of the time,Rarely,All of the time,All of the time,Some of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,Often,All of the time,All of the time,None of the time,Some of the time,Often,Often,Some of the time,Often,All of the time,Often,Some of the time,Some of the time,More than half of the time,Less than half of the time,Less than half of the time,All of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,Often,All of the time,Some of the time,Often,Some of the time,All of the time,All of the time,Often,Often,All of the time,All of the time,All of the time,Some of the time,Some of the time,More than half of the time,Less than half of the time,Some of the time
40 – 44,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,All of the time,All of the time,All of the time,All of the time,Rarely,Some of the time,Often,Often,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,Less than half of the time,More than half of the time,Less than half of the time,Some of the time
40 – 44,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,Some of the time,Rarely,Rarely,All of the time,All of the time,None of the time,None of the time,Some of the time,All of the time,All of the time,Some of the time,Often,Most of the time,Most of the time,Some of the time,Some of the time,Some of the time
25 – 29,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,All of the time,Some of the time,All of the time,Rarely,Rarely,Often,Often,Some of the time,Often,Rarely,All of the time,All of the time,Most of the time,Some of the time,Less than half of the time,Some of the time,All of the time
40 – 44,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Often,All of the time,Rarely,Often,All of the time,All of the time,None of the time,Rarely,Often,Rarely,All of the time,Some of the time,Often,Often,Some of the time,All of the time,Some of the time,Most of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Often,Rarely,All of the time,All of the time,Often,Rarely,Some of the time,Often,All of the time,Often,All of the time,Some of the time,All of the time,Often,Most of the time,Some of the time,Less than half of the time,Some of the time,Less than half of the time
30 – 34,Professional Degrees,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,All of the time,Often,Rarely,Rarely,Rarely,None of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,More than half of the time,At no time,Less than half of the time,Most of the time,All of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,Some of the time,Some of the time,Often,All of the time,All of the time,All of the time,Often,Some of the time,Often,Often,All of the time,Often,All of the time,More than half of the time,Some of the time,Some of the time,More than half of the time,Some of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),Some of the time,All of the time,Some of the time,Some of the time,All of the time,Rarely,Often,Some of the time,Often,Often,Often,Often,All of the time,Often,Less than half of the time,Most of the time,Some of the time,Some of the time,Some of the time
45 – 49,Higher Secondary,3 – 5 years (Junior professional stage),All of the time,All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,All of the time,Often,All of the time,Rarely,All of the time,Rarely,Some of the time,Less than half of the time,Some of the time,Less than half of the time,All of the time
40 – 44,Doctoral Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,All of the time,Often,All of the time,Rarely,Rarely,Often,All of the time,Often,Rarely,Often,Rarely,All of the time,Often,Most of the time,More than half of the time,Some of the time,Some of the time,More than half of the time
30 – 34,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",Rarely,Some of the time,All of the time,Some of the time,Some of the time,Often,All of the time,Often,Often,All of the time,Often,Some of the time,Some of the time,Rarely,Most of the time,Less than half of the time,Less than half of the time,Some of the time,Less than half of the time
45 – 49,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,Rarely,Rarely,All of the time,Rarely,Rarely,Some of the time,Some of the time,Often,Often,Often,All of the time,All of the time,Rarely,More than half of the time,Less than half of the time,Less than half of the time,Most of the time,Some of the time
40 – 44,Doctoral Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,Rarely,All of the time,All of the time,Some of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
40 – 44,Professional Degrees,3 – 5 years (Junior professional stage),Often,All of the time,Some of the time,Often,Some of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,Some of the time,All of the time,Rarely,Less than half of the time,Some of the time,Less than half of the time,Some of the time,Less than half of the time
50 – 54,Postgraduate Degree,16 – 20 years (Senior managers/leaders),Rarely,Rarely,None of the time,Often,Rarely,Rarely,All of the time,All of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,All of the time,At no time,Less than half of the time,Some of the time,More than half of the time,Most of the time
25 – 29,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Often,Rarely,All of the time,Often,All of the time,All of the time,Rarely,Some of the time,Less than half of the time,Some of the time,Some of the time,Less than half of the time
20 – 24,Postgraduate Degree,3 – 5 years (Junior professional stage),None of the time,Often,Often,All of the time,All of the time,Some of the time,All of the time,Often,All of the time,All of the time,Often,All of the time,All of the time,Often,Most of the time,Some of the time,Some of the time,More than half of the time,Some of the time
30 – 34,Professional Degrees,Less than 1 year (Entry-level/freshers),Some of the time,All of the time,None of the time,All of the time,Some of the time,None of the time,Some of the time,All of the time,None of the time,All of the time,Some of the time,Often,Rarely,Often,Some of the time,At no time,Some of the time,Some of the time,Some of the time
30 – 34,Postgraduate Degree,Less than 1 year (Entry-level/freshers),All of the time,Rarely,All of the time,Some of the time,All of the time,None of the time,Rarely,Often,Often,All of the time,All of the time,Rarely,All of the time,Often,Some of the time,Some of the time,Some of the time,Less than half of the time,Less than half of the time
25 – 29,Higher Secondary,1 – 2 years (Early career),None of the time,Some of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Often,Often,All of the time,None of the time,All of the time,Often,Some of the time,Less than half of the time,Less than half of the time,Most of the time,Most of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),Often,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Often,Less than half of the time,More than half of the time,Some of the time,Less than half of the time,All of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),None of the time,Some of the time,Often,Often,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,All of the time,Often,Often,All of the time,Some of the time,More than half of the time,Some of the time,More than half of the time,Some of the time
20 – 24,Professional Degrees,1 – 2 years (Early career),All of the time,All of the time,Often,All of the time,Some of the time,Often,All of the time,Often,Some of the time,All of the time,Often,Often,Some of the time,Some of the time,More than half of the time,Some of the time,More than half of the time,More than half of the time,Less than half of the time
35 – 39,Doctoral Degree,1 – 2 years (Early career),Often,Often,Often,All of the time,All of the time,Often,Rarely,All of the time,Some of the time,Often,Often,Often,All of the time,Some of the time,Less than half of the time,Less than half of the time,Less than half of the time,Less than half of the time,Some of the time
30 – 34,Bachelor’s Degree,6 – 10 years (Mid-career professionals),Some of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Often,More than half of the time,All of the time,Some of the time,Some of the time,Most of the time
30 – 34,Postgraduate Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,Often,All of the time,Often,Some of the time,Often,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,All of the time,Some of the time,More than half of the time,Some of the time,Some of the time,Some of the time,Some of the time
30 – 34,Bachelor’s Degree,16 – 20 years (Senior managers/leaders),All of the time,All of the time,Often,All of the time,All of the time,Often,Some of the time,Often,All of the time,All of the time,Rarely,Some of the time,All of the time,All of the time,Most of the time,More than half of the time,Less than half of the time,Some of the time,Most of the time
25 – 29,Postgraduate Degree,6 – 10 years (Mid-career professionals),Often,Some of the time,All of the time,All of the time,None of the time,Some of the time,Some of the time,All of the time,All of the time,Rarely,Often,All of the time,All of the time,Often,Some of the time,More than half of the time,Some of the time,Less than half of the time,Some of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,All of the time,Often,Some of the time,Some of the time,Some of the time,Rarely,All of the time,All of the time,Rarely,All of the time,Rarely,All of the time,Rarely,Some of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),All of the time,Often,Some of the time,Rarely,Rarely,Often,All of the time,None of the time,Some of the time,Often,Often,Often,Some of the time,Often,Most of the time,Less than half of the time,Most of the time,Most of the time,Some of the time
30 – 34,Diploma/Technical,3 – 5 years (Junior professional stage),All of the time,All of the time,None of the time,Rarely,Rarely,Some of the time,All of the time,All of the time,All of the time,Often,All of the time,Some of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,Less than half of the time,More than half of the time
40 – 44,Diploma/Technical,3 – 5 years (Junior professional stage),Often,Often,All of the time,All of the time,None of the time,Often,All of the time,Often,Some of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Less than half of the time,Some of the time,Less than half of the time,Some of the time,Most of the time
30 – 34,Postgraduate Degree,3 – 5 years (Junior professional stage),Rarely,All of the time,All of the time,Rarely,None of the time,All of the time,All of the time,All of the time,Often,None of the time,Often,All of the time,All of the time,Some of the time,More than half of the time,More than half of the time,More than half of the time,Most of the time,More than half of the time
40 – 44,Postgraduate Degree,6 – 10 years (Mid-career professionals),Rarely,Some of the time,Rarely,None of the time,Often,Some of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,All of the time,All of the time,Often,Less than half of the time,More than half of the time,More than half of the time,Less than half of the time,Some of the time
40 – 44,Postgraduate Degree,3 – 5 years (Junior professional stage),Often,Often,All of the time,Some of the time,Some of the time,All of the time,Often,Some of the time,Some of the time,Often,All of the time,All of the time,Often,Often,Less than half of the time,More than half of the time,Less than half of the time,Some of the time,Some of the time
40 – 44,Postgraduate Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Often,All of the time,Often,All of the time,Rarely,All of the time,Rarely,Most of the time,Some of the time,Some of the time,More than half of the time,All of the time
45 – 49,Postgraduate Degree,Less than 1 year (Entry-level/freshers),Rarely,All of the time,Rarely,All of the time,Rarely,All of the time,Rarely,All of the time,Often,Rarely,All of the time,Often,All of the time,Often,More than half of the time,Some of the time,More than half of the time,Most of the time,More than half of the time
35 – 39,Diploma/Technical,Less than 1 year (Entry-level/freshers),All of the time,All of the time,Rarely,All of the time,Some of the time,None of the time,Often,All of the time,All of the time,All of the time,Often,Some of the time,Rarely,Rarely,More than half of the time,At no time,More than half of the time,Most of the time,More than half of the time
40 – 44,Professional Degrees,Less than 1 year (Entry-level/freshers),All of the time,Often,None of the time,All of the time,Rarely,None of the time,None of the time,Often,All of the time,All of the time,All of the time,All of the time,Often,Some of the time,Some of the time,Some of the time,Some of the time,At no time,Most of the time
55 – 59,Diploma/Technical,3 – 5 years (Junior professional stage),Often,All of the time,Some of the time,Often,All of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time,All of the time,Often,All of the time,All of the time,More than half of the time,Less than half of the time,Some of the time,Less than half of the time,Less than half of the time
45 – 49,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",Often,Often,All of the time,All of the time,Often,Some of the time,All of the time,All of the time,Often,Often,All of the time,Rarely,Some of the time,Often,Some of the time,More than half of the time,Some of the time,More than half of the time,Some of the time
25 – 29,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,Some of the time,All of the time,Rarely,Often,Some of the time,Some of the time,All of the time,All of the time,Often,All of the time,Some of the time,Often,Some of the time,Some of the time,Less than half of the time,Some of the time,More than half of the time
35 – 39,Postgraduate Degree,1 – 2 years (Early career),Some of the time,Some of the time,All of the time,Rarely,Rarely,All of the time,None of the time,Some of the time,Some of the time,Rarely,All of the time,All of the time,Often,Often,Some of the time,Less than half of the time,Less than half of the time,Most of the time,Most of the time
45 – 49,Bachelor’s Degree,1 – 2 years (Early career),Rarely,Often,None of the time,Rarely,Some of the time,None of the time,Some of the time,None of the time,All of the time,All of the time,All of the time,Often,Often,All of the time,Less than half of the time,All of the time,Less than half of the time,Some of the time,At no time
40 – 44,Postgraduate Degree,16 – 20 years (Senior managers/leaders),All of the time,Rarely,Often,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Often,Some of the time,Rarely,All of the time,Some of the time,Some of the time,Some of the time,More than half of the time,Less than half of the time,Less than half of the time
45 – 49,Diploma/Technical,"11 – 15 years (Senior professionals, mid-level managers)",Often,All of the time,None of the time,All of the time,Rarely,All of the time,Some of the time,All of the time,None of the time,Rarely,Some of the time,All of the time,Often,Some of the time,Less than half of the time,Some of the time,Most of the time,Some of the time,Most of the time
55 – 59,Higher Secondary,6 – 10 years (Mid-career professionals),All of the time,All of the time,Often,Rarely,Often,Often,Some of the time,All of the time,Often,Often,Often,Often,All of the time,Some of the time,Most of the time,Less than half of the time,Some of the time,Some of the time,Some of the time
40 – 44,Bachelor’s Degree,Less than 1 year (Entry-level/freshers),Often,Rarely,All of the time,Rarely,None of the time,All of the time,All of the time,All of the time,Rarely,Rarely,All of the time,All of the time,Often,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,All of the time
40 – 44,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,All of the time,All of the time,None of the time,Rarely,All of the time,All of the time,Often,All of the time,Often,Often,All of the time,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,All of the time
35 – 39,Bachelor’s Degree,1 – 2 years (Early career),All of the time,Often,Often,Some of the time,Often,Rarely,Rarely,None of the time,All of the time,All of the time,Often,Some of the time,Some of the time,None of the time,Most of the time,All of the time,Some of the time,At no time,At no time
50 – 54,Postgraduate Degree,3 – 5 years (Junior professional stage),All of the time,All of the time,Some of the time,Some of the time,None of the time,Often,None of the time,None of the time,Some of the time,All of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,All of the time,Most of the time,More than half of the time
25 – 29,Postgraduate Degree,21 – 25 years (Top management/executives),Some of the time,Often,Some of the time,Some of the time,Some of the time,None of the time,All of the time,Often,All of the time,Rarely,Often,All of the time,All of the time,Often,Some of the time,Less than half of the time,Some of the time,Some of the time,Less than half of the time
30 – 34,Diploma/Technical,1 – 2 years (Early career),Often,All of the time,Some of the time,Often,None of the time,Some of the time,All of the time,None of the time,None of the time,All of the time,Some of the time,None of the time,Often,All of the time,Some of the time,All of the time,Some of the time,Less than half of the time,More than half of the time
40 – 44,Postgraduate Degree,1 – 2 years (Early career),All of the time,All of the time,All of the time,Often,All of the time,Often,Some of the time,Often,All of the time,All of the time,Often,All of the time,Often,All of the time,More than half of the time,Some of the time,Some of the time,Less than half of the time,More than half of the time
25 – 29,Other,21 – 25 years (Top management/executives),Often,All of the time,All of the time,Often,Rarely,None of the time,Rarely,Often,Rarely,All of the time,All of the time,All of the time,Some of the time,Often,More than half of the time,More than half of the time,Some of the time,Some of the time,More than half of the time
40 – 44,Professional Degrees,3 – 5 years (Junior professional stage),Some of the time,All of the time,All of the time,Often,Some of the time,Rarely,None of the time,Some of the time,All of the time,None of the time,All of the time,Some of the time,Some of the time,Often,Some of the time,Less than half of the time,Some of the time,Less than half of the time,More than half of the time
40 – 44,Bachelor’s Degree,6 – 10 years (Mid-career professionals),All of the time,Rarely,None of the time,All of the time,None of the time,Rarely,Often,All of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Some of the time,Less than half of the time,Less than half of the time,Most of the time,Some of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Often,All of the time,All of the time,Some of the time,All of the time,Rarely,Some of the time,Often,Often,All of the time,All of the time,Often,Some of the time,Often,More than half of the time,Most of the time,Some of the time,Some of the time,Less than half of the time
25 – 29,Postgraduate Degree,1 – 2 years (Early career),Rarely,All of the time,Some of the time,All of the time,Rarely,Rarely,All of the time,Some of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,Some of the time,More than half of the time,Some of the time,Some of the time
25 – 29,Diploma/Technical,"11 – 15 years (Senior professionals, mid-level managers)",Rarely,All of the time,Rarely,All of the time,None of the time,Rarely,All of the time,All of the time,Often,Often,Often,All of the time,Rarely,All of the time,Some of the time,Most of the time,Less than half of the time,Less than half of the time,More than half of the time
55 – 59,Doctoral Degree,6 – 10 years (Mid-career professionals),All of the time,All of the time,All of the time,Rarely,None of the time,Some of the time,Rarely,Often,Some of the time,All of the time,Often,All of the time,All of the time,All of the time,More than half of the time,Some of the time,Less than half of the time,Less than half of the time,More than half of the time
30 – 34,Postgraduate Degree,1 – 2 years (Early career),None of the time,All of the time,All of the time,Some of the time,All of the time,None of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,More than half of the time,Some of the time
30 – 34,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",All of the time,All of the time,All of the time,All of the time,Some of the time,Rarely,Often,All of the time,All of the time,All of the time,Often,Often,Rarely,Rarely,Most of the time,Most of the time,Some of the time,Some of the time,Some of the time
30 – 34,Bachelor’s Degree,6 – 10 years (Mid-career professionals),Often,All of the time,All of the time,Some of the time,Often,Rarely,All of the time,None of the time,Some of the time,All of the time,All of the time,Rarely,Often,Often,More than half of the time,At no time,Some of the time,Some of the time,Some of the time
30 – 34,Bachelor’s Degree,3 – 5 years (Junior professional stage),Often,All of the time,Often,All of the time,None of the time,None of the time,Often,Often,Often,Rarely,Some of the time,Some of the time,None of the time,Rarely,Less than half of the time,All of the time,Most of the time,Some of the time,Some of the time
35 – 39,Bachelor’s Degree,"11 – 15 years (Senior professionals, mid-level managers)",Some of the time,Often,Some of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,Often,Some of the time,Less than half of the time,Some of the time,Less than half of the time,Less than half of the time,More than half of the time
30 – 34,Bachelor’s Degree,3 – 5 years (Junior professional stage),All of the time,Rarely,All of the time,None of the time,Some of the time,Often,Rarely,Some of the time,Often,None of the time,All of the time,All of the time,None of the time,All of the time,Less than half of the time,Most of the time,Less than half of the time,All of the time,Most of the time
